prod_id,list_price
75823,29.99
75822,19.99
75821,12.99
21030,99.99
21035,79.99
21039,59.99
21028,59.99
21029,49.99
21034,39.99
21033,39.99
21036,39.99
21019,34.99
21032,29.99
17101,159.99
41597,29.99
41614,19.99
41613,19.99
41609,9.99
41608,9.99
41604,9.99
41605,9.99
41606,9.99
41607,9.99
41485,9.99
40270,9.99
41599,9.99
41598,9.99
41603,9.99
41602,9.99
41600,9.99
41601,9.99
41611,19.99
41610,19.99
40271,9.99
41487,9.99
41488,9.99
41594,9.99
41486,9.99
41585,9.99
41590,9.99
41593,9.99
41592,9.99
41595,9.99
41596,9.99
41588,9.99
41591,9.99
41587,9.99
41586,9.99
60175,49.99
60052,199.99
60051,149.99
60162,149.99
60167,119.99
60161,119.99
60141,99.99
60188,99.99
60110,99.99
60174,89.99
60169,79.99
60140,69.99
60160,59.99
60173,59.99
60166,59.99
60139,49.99
60154,49.99
60186,49.99
60153,39.99
60138,39.99
60165,39.99
60172,39.99
60159,39.99
60108,39.99
60182,29.99
60183,29.99
60107,24.99
60180,19.99
60150,19.99
7499,19.99
60148,19.99
60179,19.99
60181,19.99
60137,19.99
60176,19.99
60185,19.99
10751,19.99
60164,19.99
60158,19.99
7895,15.99
7280,14.99
7281,14.99
60177,9.99
60157,9.99
10750,9.99
60163,9.99
60171,9.99
60184,9.99
60178,9.99
60170,6.99
60156,6.99
60134,39.99
60125,149.99
60124,119.99
60109,79.99
60143,49.99
60129,49.99
60123,49.99
60122,39.99
60119,29.99
60168,29.99
60155,29.99
60101,24.99
60121,24.99
60117,19.99
60142,19.99
60136,9.99
60146,9.99
60145,9.99
60120,9.99
60100,9.99
60106,9.99
60135,6.99
10698,59.99
10696,34.99
10713,19.99
10693,19.99
10692,16.99
10701,14.99
10714,7.99
10700,7.99
10706,4.99
10708,4.99
10707,4.99
10709,4.99
630,2.49
10694,19.99
10699,7.99
31069,69.99
31070,59.99
31081,39.99
31079,34.99
31080,34.99
31066,29.99
31068,29.99
31067,29.99
31062,19.99
31074,19.99
31076,19.99
31075,19.99
31058,14.99
31073,14.99
31056,9.99
31057,9.99
31071,9.99
31072,9.99
31046,19.99
31059,19.99
31051,59.99
31064,29.99
31035,29.99
31063,29.99
31049,29.99
31047,19.99
31060,19.99
31043,9.99
31029,9.99
10256,369.99
10260,169.99
10259,79.99
10255,279.99
10253,249.99
10214,239.99
10257,199.99
10247,199.99
10251,169.99
10243,159.99
10246,159.99
10258,139.99
10220,119.99
10252,99.99
10242,99.99
10254,99.99
70922,269.99
76087,129.99
71171,89.99
70923,79.99
76086,49.99
70921,49.99
76097,39.99
76098,29.99
70919,29.99
70920,29.99
10753,24.99
70918,19.99
76085,19.99
76096,19.99
41599,9.99
41598,9.99
41600,9.99
41601,9.99
41610,19.99
41232,79.99
41230,24.99
41231,29.99
41233,14.99
76052,269.99
41239,99.99
76055,79.99
76054,59.99
41238,59.99
41237,44.99
76045,29.99
76075,29.99
76056,29.99
76025,19.99
41234,14.99
76044,12.99
41585,9.99
76068,9.99
41588,9.99
41587,9.99
76069,9.99
76070,9.99
41586,9.99
41232,79.99
41230,24.99
41231,29.99
41233,14.99
41239,99.99
41238,59.99
41237,44.99
41234,14.99
71287,14.99
71171,89.99
71343,14.99
71346,24.99
71349,14.99
71255,24.99
71242,49.99
71264,44.99
71267,29.99
71248,29.99
71229,24.99
71235,24.99
71348,14.99
71266,14.99
71238,11.99
71218,11.99
71232,11.99
71040,349.99
71042,199.99
41148,79.99
41154,69.99
41153,49.99
41150,39.99
41152,39.99
41146,39.99
10744,34.99
41145,29.99
10736,24.99
10743,19.99
10742,19.99
41155,19.99
41151,14.99
10730,9.99
10733,9.99
40307,9.99
40388,9.99
10732,9.99
10731,9.99
41594,9.99
41066,29.99
41149,24.99
41142,19.99
41147,19.99
41593,9.99
41595,9.99
41596,9.99
41144,9.99
41143,5.99
10880,29.99
10879,19.99
10508,109.99
10805,99.99
10840,79.99
10869,59.99
10836,59.99
10813,49.99
10864,49.99
10507,44.99
10835,39.99
10844,39.99
10841,39.99
10846,39.99
10827,34.99
10834,29.99
10823,29.99
10857,29.99
10837,29.99
10876,29.99
10863,29.99
10878,29.99
10868,29.99
10865,29.99
10572,29.99
10592,24.99
10597,24.99
10839,24.99
10845,24.99
10871,24.99
10833,19.99
10847,19.99
10816,19.99
10812,19.99
10856,19.99
10867,19.99
10877,19.99
10861,19.99
10843,14.99
10832,14.99
10809,14.99
10862,14.99
2304,14.99
10838,9.99
10870,9.99
10858,9.99
10851,4.99
10859,4.99
10860,4.99
10608,29.99
10607,14.99
10820,59.99
10804,49.99
10855,34.99
10606,29.99
10822,29.99
10817,29.99
10828,24.99
10590,19.99
10616,19.99
10818,19.99
10615,14.99
10801,9.99
10808,9.99
10831,9.99
10849,4.99
10852,4.99
10850,4.99
41188,69.99
41194,59.99
41187,49.99
41193,39.99
41183,29.99
41192,29.99
41191,19.99
41186,19.99
41190,14.99
41185,59.99
41181,9.99
41182,19.99
41318,99.99
41314,69.99
41317,69.99
41340,69.99
41324,59.99
41339,54.99
41313,49.99
41338,44.99
41320,39.99
41323,39.99
41325,39.99
41336,32.99
41335,29.99
41322,29.99
41316,29.99
41311,29.99
41319,24.99
41334,24.99
41333,19.99
41332,19.99
10749,19.99
41315,19.99
41330,14.99
41329,14.99
10748,9.99
41328,9.99
41327,9.99
40171,12.99
41124,29.99
41132,29.99
41128,19.99
41303,4.99
41130,99.99
41134,79.99
41126,59.99
41312,39.99
41326,29.99
41300,19.99
41310,19.99
41301,14.99
41127,14.99
41306,9.99
41309,9.99
41123,9.99
41302,4.99
75827,349.99
75828,59.99
21313,69.99
21314,34.99
21310,149.99
21309,119.99
21308,49.99
21312,24.99
21307,79.99
10758,49.99
10761,29.99
10757,24.99
10760,24.99
10756,19.99
10759,19.99
10745,49.99
10744,34.99
10734,29.99
10736,24.99
10753,24.99
10743,19.99
10746,19.99
10751,19.99
10749,19.99
10742,19.99
10754,19.99
10739,19.99
10740,19.99
10755,19.99
10738,14.99
10737,14.99
10750,9.99
10730,9.99
10733,9.99
10748,9.99
10732,9.99
10731,9.99
10747,29.99
10687,29.99
10725,29.99
10735,19.99
10722,14.99
10726,12.99
10723,14.99
10720,9.99
75930,129.99
75929,79.99
75933,69.99
10758,49.99
75932,39.99
75931,39.99
75928,39.99
75927,29.99
10880,29.99
10757,24.99
41614,19.99
75926,19.99
10756,19.99
10879,19.99
76105,119.99
76108,99.99
76107,69.99
76103,39.99
76104,29.99
76102,19.99
76101,14.99
41604,9.99
41605,9.99
41606,9.99
41607,9.99
76088,59.99
76078,59.99
76084,49.99
76083,39.99
76100,29.99
10876,29.99
76077,29.99
76099,19.99
76082,19.99
76076,19.99
10754,19.99
76091,9.99
76090,9.99
76089,9.99
76071,9.99
76080,29.99
76067,29.99
76060,29.99
76079,19.99
76029,12.99
76072,9.99
41590,9.99
41592,9.99
76073,9.99
41591,9.99
31313,349.99
45500,197.99
45501,88.99
45506,41.99
45505,31.99
45509,31.99
45508,31.99
45517,29.99
45502,26.99
45503,21.99
45507,21.99
45514,16.99
45504,31.99
21137,249.99
21136,119.99
21134,69.99
21135,59.99
21144,49.99
21143,39.99
21142,29.99
21130,29.99
21140,19.99
21141,19.99
21123,19.99
21129,19.99
21139,14.99
21138,14.99
21122,79.99
21125,69.99
21124,59.99
21121,59.99
21126,39.99
21119,19.99
71021,3.99
60153,39.99
71020,3.99
71019,3.99
71018,3.99
70357,129.99
72006,59.99
72005,49.99
72004,39.99
72003,29.99
72002,19.99
72001,19.99
70358,24.99
70365,9.99
70347,9.99
70317,99.99
70352,89.99
70322,69.99
70355,59.99
70354,39.99
70321,49.99
70359,24.99
70350,29.99
70349,19.99
70348,19.99
70313,19.99
70361,14.99
70362,9.99
70366,9.99
70364,9.99
70339,9.99
70337,9.99
70363,9.99
70336,9.99
70338,9.99
853516,14.99
70372,3.99
70618,159.99
70620,299.99
70617,99.99
70632,89.99
70656,79.99
70616,79.99
70643,69.99
70615,69.99
70613,59.99
70614,59.99
70642,49.99
70631,49.99
70612,49.99
70640,39.99
70641,39.99
70639,29.99
70611,29.99
70608,29.99
70609,29.99
70610,29.99
70638,19.99
70629,19.99
70607,19.99
10755,19.99
70628,9.99
70633,9.99
70635,9.99
70637,9.99
70606,9.99
70634,9.99
70636,9.99
41487,9.99
41488,9.99
70605,79.99
70592,39.99
70624,29.99
70623,29.99
70603,29.99
70601,19.99
70621,9.99
71019,3.99
2000431,754.99
2000409,484.99
2000414,36.99
2000430,789.99
75889,99.99
75888,29.99
75884,14.99
75886,14.99
75885,14.99
75883,99.99
75881,29.99
75887,14.99
75877,14.99
75880,14.99
75879,14.99
75878,14.99
75871,14.99
75872,14.99
75212,169.99
75211,69.99
75210,39.99
75208,29.99
75209,29.99
75537,29.99
75536,24.99
75535,24.99
75206,14.99
75207,14.99
41609,9.99
41608,9.99
75159,499.99
75060,199.99
75190,159.99
75189,149.99
75188,109.99
75187,99.99
75156,89.99
75186,89.99
75202,84.99
75179,79.99
75102,79.99
75155,79.99
75180,79.99
75185,69.99
75172,59.99
75532,54.99
75178,49.99
75177,49.99
75205,39.99
75201,39.99
75530,34.99
75200,29.99
75204,29.99
75174,29.99
75199,29.99
75176,29.99
75183,24.99
75168,24.99
75182,24.99
75169,24.99
75529,24.99
75117,24.99
75531,24.99
75528,24.99
75196,19.99
75195,19.99
75526,19.99
75198,14.99
75197,14.99
75167,14.99
75166,14.99
75193,9.99
75194,9.99
41485,9.99
75160,9.99
41603,9.99
75161,9.99
41602,9.99
75144,199.99
75191,99.99
75534,39.99
75533,29.99
75173,19.99
75181,199.99
75192,799.99
75119,24.99
75524,24.99
75525,24.99
75165,14.99
75095,199.99
75104,119.99
75154,69.99
75139,59.99
75171,49.99
75147,49.99
75148,59.99
75184,39.99
75170,29.99
75111,29.99
75120,24.99
75118,24.99
75109,24.99
75121,24.99
75099,19.99
75523,24.99
75116,24.99
75107,19.99
75114,19.99
75164,14.99
75131,12.99
75132,12.99
41486,9.99
75162,9.99
75125,9.99
75128,9.99
75163,9.99
75126,9.99
42070,289.99
42056,299.99
42055,279.99
42078,179.99
42069,179.99
42066,159.99
42064,119.99
42077,109.99
42065,99.99
42068,99.99
42076,89.99
42063,59.99
42062,59.99
42075,49.99
42074,39.99
42060,29.99
8293,29.99
42072,19.99
42059,19.99
42073,19.99
42057,19.99
42058,19.99
42071,19.99
42084,14.99
42054,179.99
42052,139.99
42039,129.99
42053,119.99
42037,59.99
42049,49.99
42036,39.99
42061,39.99
42032,19.99
42033,19.99
42045,19.99
42031,12.99
42044,12.99
70922,269.99
70912,149.99
70917,139.99
70909,99.99
70916,89.99
70923,79.99
70905,59.99
70906,49.99
70921,49.99
70914,49.99
70919,29.99
70911,29.99
70920,29.99
70903,29.99
70918,19.99
70910,19.99
70901,19.99
70913,14.99
70900,14.99
853638,16.99
71020,3.99
70908,79.99
70907,69.99
70915,59.99
70904,34.99
71264,44.99
70902,19.99
41585,9.99
41588,9.99
41587,9.99
41586,9.99
70618,159.99
70620,299.99
70617,99.99
70632,89.99
70656,79.99
70616,79.99
70615,69.99
70613,59.99
70614,59.99
70631,49.99
70612,49.99
70611,29.99
70608,29.99
70609,29.99
70610,29.99
70629,19.99
70607,19.99
70628,9.99
70606,9.99
41487,9.99
41488,9.99
71019,3.99
